Logging in build 2017.0.2.60 started at: Thu Apr  6 18:36:08 2017
========================================
[00:00:13.100] 18:36:21.506 | quitWithUI:Quitting Application. Called by: 
[00:00:13.101] 18:36:21.508 | Quitting Application after 0.1 minutes. Called by: 
[00:00:23.512] Logging shutdown normally

==========
Logging ended at: Thu Apr  6 18:36:32 2017

Logging in build 2017.0.2.60 started at: Mon Apr 24 07:18:25 2017
========================================
[00:00:08.965] 07:18:34.769 | Trying to open file '/Users/JaneNass/Downloads/Rocks76/Rocks 76 Gas Station.muse with size:8552448 mod Date:Tue Feb 14 17:53:10 GMT-0800 2017
[00:00:08.972] 07:18:34.776 | Opening file '/Users/JaneNass/Downloads/Rocks76/Rocks 76 Gas Station.muse' with status:success size:8552448 mod Date:Tue Feb 14 17:53:10 GMT-0800 2017 highestUID: 11746
[00:00:08.981] 07:18:34.786 | Trying to open file '/Users/JaneNass/Downloads/Rocks76/Rocks 76 Gas Station.muse with size:8552448 mod Date:Tue Feb 14 17:53:10 GMT-0800 2017
[00:00:08.988] 07:18:34.792 | Opening file '/Users/JaneNass/Downloads/Rocks76/Rocks 76 Gas Station.muse' with status:success size:8552448 mod Date:Tue Feb 14 17:53:10 GMT-0800 2017 highestUID: 11746
[02:19:49.799] 09:38:15.599 | Beginning drag
[02:19:49.866] 09:38:15.670 | Already dragging, so cannot restart drag
[02:19:53.342] 09:38:19.147 | Drag complete
[02:19:53.676] 09:38:19.480 | Beginning drag
[02:19:53.695] 09:38:19.499 | Already dragging, so cannot restart drag
[02:19:54.817] 09:38:20.621 | Drag complete
[08:47:00.269] 16:05:26.073 | MenuWidgetPageItem::copyTo adding listener for CONVERSION_SESSION_ENDING
[08:47:00.269] 16:05:26.074 | MenuWidgetPageItem::copyTo adding listener for CONVERSION_SESSION_ENDING
[08:47:00.373] 16:05:26.177 | MenuWidgetPageItem::copyTo::updateQueryInfoLocal removing listener(if any) for CONVERSION_SESSION_ENDING
[08:47:00.378] 16:05:26.182 | MenuWidgetPageItem::copyTo::updateQueryInfoLocal removing listener(if any) for CONVERSION_SESSION_ENDING
